order_id,user_id,restaurant_id,order_date,total_amount,name,city,membership,restaurant_name,cuisine,rating
1,2508,450,18-02-2023,842.97,User_2508,Hyderabad,Regular,Restaurant_450,Mexican,3.2
2,2693,309,18-01-2023,546.68,User_2693,Pune,Regular,Restaurant_309,Indian,4.5
3,2084,107,15-07-2023,163.93,User_2084,Chennai,Gold,Restaurant_107,Mexican,4.0
4,319,224,04-10-2023,1155.97,User_319,Bangalore,Gold,Restaurant_224,Chinese,4.8
5,1064,293,25-12-2023,1321.91,User_1064,Pune,Regular,Restaurant_293,Italian,3.0
6,2933,499,12-07-2023,1497.22,User_2933,Chennai,Regular,Restaurant_499,Mexican,4.9
7,970,35,30-05-2023,129.21,User_970,Bangalore,Regular,Restaurant_35,Chinese,3.9
8,891,57,07-11-2023,269.19,User_891,Pune,Regular,Restaurant_57,Mexican,4.4
9,364,7,05-12-2023,953.3,User_364,Chennai,Gold,Restaurant_7,Italian,3.2
10,2972,183,30-12-2023,351.41,User_2972,Bangalore,Regular,Restaurant_183,Chinese,3.7
11,924,235,10-12-2023,523.82,User_924,Chennai,Regular,Restaurant_235,Italian,4.5
12,884,423,27-10-2023,1484.65,User_884,Pune,Gold,Restaurant_423,Indian,3.2
13,1958,244,11-08-2023,216.59,User_1958,Chennai,Regular,Restaurant_244,Italian,4.3
14,364,112,24-09-2023,898.24,User_364,Chennai,Gold,Restaurant_112,Chinese,3.2
15,1733,383,17-07-2023,1098.41,User_1733,Pune,Regular,Restaurant_383,Indian,3.1
16,1321,149,17-07-2023,475.74,User_1321,Pune,Gold,Restaurant_149,Mexican,3.6
17,1896,421,09-04-2023,1002.51,User_1896,Pune,Regular,Restaurant_421,Indian,3.0
18,1617,414,23-04-2023,736.89,User_1617,Pune,Gold,Restaurant_414,Chinese,4.7
19,330,73,27-12-2023,392.59,User_330,Chennai,Regular,Restaurant_73,Mexican,3.1
20,2567,52,03-02-2023,362.01,User_2567,Bangalore,Gold,Restaurant_52,Mexican,4.9
21,1610,186,13-08-2023,743.68,User_1610,Pune,Regular,Restaurant_186,Indian,4.3
22,688,279,12-07-2023,507.82,User_688,Hyderabad,Gold,Restaurant_279,Italian,4.9
23,2640,83,14-06-2023,1025.36,User_2640,Bangalore,Gold,Restaurant_83,Chinese,3.5
24,2403,434,22-01-2023,412.5,User_2403,Pune,Gold,Restaurant_434,Italian,4.7
25,288,18,07-06-2023,147.9,User_288,Pune,Regular,Restaurant_18,Italian,4.5
26,2915,129,24-12-2023,933.31,User_2915,Chennai,Gold,Restaurant_129,Indian,4.1
27,1056,399,08-08-2023,678.38,User_1056,Bangalore,Regular,Restaurant_399,Chinese,3.2
28,2370,63,23-03-2023,900.74,User_2370,Bangalore,Regular,Restaurant_63,Italian,5.0
29,2905,115,20-09-2023,903.0,User_2905,Pune,Gold,Restaurant_115,Chinese,3.3
30,2009,18,23-04-2023,996.26,User_2009,Chennai,Gold,Restaurant_18,Italian,4.5
31,1986,190,03-04-2023,199.16,User_1986,Bangalore,Regular,Restaurant_190,Chinese,3.1
32,1407,93,26-01-2023,741.1,User_1407,Pune,Gold,Restaurant_93,Chinese,4.9
33,1761,346,04-07-2023,957.07,User_1761,Bangalore,Gold,Restaurant_346,Indian,4.5
34,844,350,15-06-2023,455.96,User_844,Chennai,Gold,Restaurant_350,Mexican,3.2
